num_events,experimental_context,num_events_test,rmse_ml
1000,1p2uW_3000cps,1000,0.2786764174097265
1000,1p2uW_3000cps,10000,0.24162253550932994
1000,1p2uW_3000cps,100000,0.23932310071445762
1000,1p2uW_3000cps,1000000,0.23602223274031714
1000,2p5uW_4000cps,1000,0.2072491626660812
1000,2p5uW_4000cps,10000,0.1425043818256201
1000,2p5uW_4000cps,100000,0.13724075022542698
1000,2p5uW_4000cps,1000000,0.13527249116246925
1000,4uW_4100cps,1000,0.18392266553382083
1000,4uW_4100cps,10000,0.0971893643954376
1000,4uW_4100cps,100000,0.0841895175120716
1000,4uW_4100cps,1000000,0.08747827189475434
1000,8uW_5100cps,1000,0.20675801449110842
1000,8uW_5100cps,10000,0.08708967116494841
1000,8uW_5100cps,100000,0.05913761395559401
1000,8uW_5100cps,1000000,0.05757941352121361
1000,10uW_6000cps,1000,0.2099506372324538
1000,10uW_6000cps,10000,0.10927048537696793
1000,10uW_6000cps,100000,0.09428795610267508
1000,10uW_6000cps,1000000,0.0908060780767686
1000,10uW_12000cps,1000,0.22248350407386658
1000,10uW_12000cps,10000,0.11242497608899227
1000,10uW_12000cps,100000,0.09557242650409634
1000,10uW_12000cps,1000000,0.09069091554982953
1000,20uW_7000cps,1000,0.25122030244074955
1000,20uW_7000cps,10000,0.12652270342755753
1000,20uW_7000cps,100000,0.10588910696975856
1000,20uW_7000cps,1000000,0.10313810924735224
1000,30uW_7000cps,1000,0.3236713912092896
1000,30uW_7000cps,10000,0.23909308932835796
1000,30uW_7000cps,100000,0.2228863729757761
1000,30uW_7000cps,1000000,0.22314592655607712
10000,1p2uW_3000cps,1000,0.2933528194130368
10000,1p2uW_3000cps,10000,0.2611077009618005
10000,1p2uW_3000cps,100000,0.253954977775735
10000,1p2uW_3000cps,1000000,0.2552070436557847
10000,2p5uW_4000cps,1000,0.2221649011304803
10000,2p5uW_4000cps,10000,0.15981343909169807
10000,2p5uW_4000cps,100000,0.15181587702834667
10000,2p5uW_4000cps,1000000,0.15054151261945917
10000,4uW_4100cps,1000,0.19731977453805485
10000,4uW_4100cps,10000,0.11958141778775426
10000,4uW_4100cps,100000,0.10532908276514476
10000,4uW_4100cps,1000000,0.10384749428205665
10000,8uW_5100cps,1000,0.20724442977938842
10000,8uW_5100cps,10000,0.0766007789562879
10000,8uW_5100cps,100000,0.042509986429861965
10000,8uW_5100cps,1000000,0.033401079338235495
10000,10uW_6000cps,1000,0.20647766670972276
