0001:AREA1:1-Channel(X)	0001:AREA1:1-Channel(Y)
1244.075	25979
1244.297	26109
1244.52	25988
1244.743	26352
1244.965	25985
1245.188	26116
1245.411	26025
1245.633	26171
1245.856	26293
1246.078	26309
1246.301	26260
1246.523	26368
1246.746	26262
1246.968	26545
1247.191	26409
1247.413	26340
1247.635	26023
1247.858	26365
1248.08	26594
1248.302	26528
1248.524	26367
1248.747	26458
1248.969	26447
1249.191	26628
1249.413	26672
1249.635	26618
1249.857	26551
1250.079	26691
1250.301	26690
1250.523	26899
1250.745	26688
1250.967	26748
1251.189	26623
1251.411	26805
1251.633	26556
1251.855	26684
1252.077	26890
1252.298	26955
1252.52	26861
1252.742	27072
1252.964	26982
1253.185	26990
1253.407	26730
1253.629	27091
1253.85	27032
1254.072	26974
1254.293	26831
1254.515	26938
1254.736	26736
1254.958	26895
1255.179	26703
1255.401	26782
1255.622	26871
1255.843	27219
1256.065	27175
1256.286	27113
1256.507	27094
1256.729	27011
1256.95	26748
1257.171	27074
1257.392	26980
1257.614	27001
1257.835	26990
1258.056	26978
1258.277	26763
1258.498	26937
1258.719	26987
1258.94	26944
1259.161	26950
1259.382	27331
1259.603	27190
1259.824	27107
1260.045	27135
1260.265	27203
1260.486	26962
1260.707	27465
1260.928	27432
1261.149	27074
1261.369	26824
1261.59	26857
1261.811	26827
1262.031	26973
1262.252	26707
1262.472	26640
1262.693	26783
1262.913	27172
1263.134	26651
1263.354	26264
1263.575	26268
1263.795	26911
1264.016	27059
1264.236	26294
1264.456	25966
1264.677	26005
1264.897	25831
1265.117	25952
1265.337	25962
1265.558	25883
1265.778	25696
1265.998	25908
1266.218	25758
1266.438	26198
1266.658	26612
1266.878	26911
1267.098	27407
1267.318	26763
1267.538	25792
1267.758	25873
1267.978	26059
1268.198	25978
1268.418	25850
1268.638	25600
1268.857	25351
1269.077	25702
1269.297	25498
1269.517	25441
1269.736	25416
1269.956	25512
1270.176	25287
1270.395	25328
1270.615	25019
1270.834	25220
1271.054	25445
1271.273	25626
1271.493	25423
1271.712	26084
1271.932	27062
1272.151	26618
1272.37	25955
1272.59	26411
1272.809	25749
1273.028	25663
1273.247	25807
1273.467	25803
1273.686	25647
1273.905	25692
1274.124	26111
1274.343	26099
1274.562	26049
1274.781	26055
1275	26060
