0001:AREA1:1-Channel(X)	0001:AREA1:1-Channel(Y)
1244.075	25335
1244.297	25410
1244.52	25237
1244.743	25482
1244.965	25286
1245.188	25358
1245.411	25212
1245.633	25225
1245.856	25331
1246.078	25311
1246.301	25204
1246.523	25322
1246.746	25186
1246.968	25370
1247.191	25400
1247.413	25299
1247.635	25105
1247.858	25355
1248.08	25541
1248.302	25456
1248.524	25350
1248.747	25480
1248.969	25410
1249.191	25552
1249.413	25592
1249.635	25486
1249.857	25462
1250.079	25640
1250.301	25592
1250.523	25714
1250.745	25552
1250.967	25579
1251.189	25470
1251.411	25610
1251.633	25445
1251.855	25529
1252.077	25634
1252.298	25645
1252.52	25544
1252.742	25591
1252.964	25431
1253.185	25567
1253.407	25392
1253.629	25626
1253.85	25607
1254.072	25596
1254.293	25531
1254.515	25540
1254.736	25428
1254.958	25604
1255.179	25480
1255.401	25517
1255.622	25514
1255.843	25650
1256.065	25588
1256.286	25490
1256.507	25478
1256.729	25608
1256.95	25382
1257.171	25658
1257.392	25503
1257.614	25488
1257.835	25401
1258.056	25549
1258.277	25407
1258.498	25485
1258.719	25489
1258.94	25419
1259.161	25357
1259.382	25362
1259.603	25325
1259.824	25289
1260.045	25286
1260.265	25288
1260.486	25202
1260.707	25462
1260.928	25279
1261.149	25232
1261.369	25143
1261.59	25170
1261.811	25014
1262.031	25011
1262.252	25010
1262.472	24939
1262.693	24985
1262.913	25052
1263.134	24892
1263.354	24660
1263.575	24796
1263.795	24873
1264.016	24935
1264.236	24800
1264.456	24727
1264.677	24748
1264.897	24550
1265.117	24579
1265.337	24590
1265.558	24470
1265.778	24504
1265.998	24541
1266.218	24423
1266.438	24517
1266.658	24176
1266.878	24369
1267.098	24200
1267.318	24213
1267.538	24176
1267.758	24138
1267.978	24100
1268.198	24136
1268.418	24100
1268.638	24077
1268.857	23931
1269.077	24000
1269.297	23789
1269.517	23872
1269.736	23782
1269.956	23854
1270.176	23639
1270.395	23841
1270.615	23537
1270.834	23646
1271.054	23674
1271.273	23683
1271.493	23571
1271.712	23452
1271.932	23356
1272.151	23442
1272.37	23322
1272.59	23396
1272.809	23435
1273.028	23295
1273.247	23352
1273.467	23169
1273.686	23283
1273.905	23140
1274.124	23065
1274.343	22963
1274.562	22851
1274.781	22911
1275	22911
1275.219	22827
1275.438	22914
1275.657	23064
1275.876	22971
1276.095	22929
1276.314	22952
1276.533	22671
1276.752	22717
1276.97	22768
1277.189	22755
1277.408	22677
1277.627	22418
1277.845	22500
1278.064	22374
1278.283	22491
1278.501	22273
1278.72	22284
1278.938	22184
1279.157	22215
1279.375	22137
1279.594	22387
1279.812	22495
1280.03	22246
1280.249	21968
1280.467	22057
1280.685	21946
1280.904	21949
1281.122	21795
1281.34	21997
1281.558	21859
1281.776	21858
1281.995	21643
1282.213	21675
1282.431	21589
1282.649	21707
1282.867	21525
1283.085	21411
1283.303	21428
1283.521	21360
1283.739	21244
1283.957	21271
1284.174	21187
1284.392	21276
1284.61	21022
1284.828	21135
1285.046	20855
1285.263	20991
1285.481	20958
1285.699	20976
1285.916	20878
1286.134	20996
1286.351	20891
1286.569	20911
1286.786	20772
1287.004	20848
1287.221	20587
1287.439	20690
1287.656	20518
1287.874	20598
1288.091	20493
1288.308	20580
1288.526	20477
1288.743	20354
1288.96	20410
1289.177	20327
1289.394	20307
1289.612	20265
1289.829	20056
1290.046	20119
1290.263	19985
1290.48	20063
1290.697	19931
1290.914	19949
1291.131	19810
1291.348	19717
1291.565	19684
1291.781	19576
1291.998	19662
1292.215	19607
1292.432	19564
1292.649	19351
1292.865	19347
1293.082	19470
1293.299	19360
1293.515	19288
1293.732	19233
1293.948	19186
1294.165	19047
1294.381	19204
1294.598	19061
1294.814	18919
1295.031	19031
1295.247	18988
1295.464	18754
1295.68	18726
1295.896	18844
1296.113	18927
1296.329	18764
1296.545	18476
1296.761	18454
1296.977	18531
1297.193	18419
1297.41	18260
1297.626	18326
1297.842	18173
1298.058	18098
1298.274	18207
1298.49	17964
1298.706	17937
1298.922	17875
1299.137	17735
1299.353	17716
1299.569	17577
1299.785	17566
1300.001	17443
1300.216	17484
1300.432	17416
1300.648	17388
1300.863	17371
1301.079	17229
1301.295	17197
1301.51	17049
1301.726	17160
1301.941	17154
1302.157	17113
1302.372	16916
1302.587	16918
1302.803	16948
1303.018	16904
1303.233	16967
1303.449	16886
1303.664	16851
1303.879	16918
1304.094	16960
1304.31	17012
1304.525	16943
1304.74	16902
1304.955	16908
