0001:AREA1:1-Channel(X)	0001:AREA1:1-Channel(Y)
1244.075	25719
1244.297	25824
1244.52	25668
1244.743	25993
1244.965	25714
1245.188	25817
1245.411	25717
1245.633	25784
1245.856	25940
1246.078	25937
1246.301	25888
1246.523	26024
1246.746	25823
1246.968	26081
1247.191	26086
1247.413	25958
1247.635	25738
1247.858	26022
1248.08	26179
1248.302	26081
1248.524	25974
1248.747	26118
1248.969	26043
1249.191	26223
1249.413	26232
1249.635	26143
1249.857	26080
1250.079	26264
1250.301	26162
1250.523	26395
1250.745	26204
1250.967	26263
1251.189	26194
1251.411	26264
1251.633	26084
1251.855	26190
1252.077	26270
1252.298	26409
1252.52	26247
1252.742	26549
1252.964	26356
1253.185	26386
1253.407	26134
1253.629	26530
1253.85	26392
1254.072	26335
1254.293	26230
1254.515	26294
1254.736	26162
1254.958	26236
1255.179	26201
1255.401	26203
1255.622	26302
1255.843	26592
1256.065	26506
1256.286	26493
1256.507	26384
1256.729	26462
1256.95	26233
1257.171	26542
1257.392	26454
1257.614	26479
1257.835	26479
1258.056	26714
1258.277	26449
1258.498	26431
1258.719	26418
1258.94	26347
1259.161	26383
1259.382	26732
1259.603	26580
1259.824	26489
1260.045	26478
1260.265	26574
1260.486	26395
1260.707	26753
1260.928	26638
1261.149	26380
1261.369	26145
1261.59	26266
1261.811	26221
1262.031	26201
1262.252	26081
1262.472	26020
1262.693	26260
1262.913	26652
1263.134	26060
1263.354	25696
1263.575	25849
1263.795	26618
1264.016	26739
1264.236	25903
1264.456	25595
1264.677	25637
1264.897	25357
1265.117	25465
1265.337	25481
1265.558	25358
1265.778	25264
1265.998	25388
1266.218	25231
1266.438	25695
1266.658	25933
1266.878	26169
1267.098	26476
1267.318	26016
1267.538	25240
1267.758	25353
1267.978	25442
1268.198	25399
1268.418	25340
1268.638	25055
1268.857	24845
1269.077	24959
1269.297	24881
1269.517	24879
1269.736	24953
1269.956	25014
1270.176	24808
1270.395	24859
1270.615	24555
1270.834	24785
1271.054	24972
1271.273	25115
1271.493	24893
1271.712	25352
1271.932	26014
1272.151	25534
1272.37	25276
1272.59	25692
1272.809	25032
1273.028	24956
1273.247	25040
1273.467	25050
1273.686	24859
1273.905	24859
1274.124	25108
1274.343	25045
1274.562	25024
1274.781	25071
1275	24979
1275.219	24832
1275.438	25326
1275.657	25676
1275.876	25853
1276.095	25397
1276.314	25076
1276.533	24770
1276.752	24665
1276.97	24740
1277.189	25102
1277.408	25517
1277.627	24570
1277.845	24365
1278.064	24229
1278.283	24207
1278.501	24124
1278.72	24421
1278.938	24214
1279.157	24431
1279.375	24479
1279.594	25301
1279.812	25764
1280.03	24871
1280.249	24023
1280.467	24003
1280.685	24367
1280.904	24333
1281.122	23814
1281.34	24039
1281.558	23812
1281.776	24047
1281.995	23562
1282.213	23663
1282.431	23867
1282.649	23825
1282.867	23478
1283.085	23467
1283.303	23167
1283.521	22949
1283.739	22861
1283.957	22926
1284.174	23001
1284.392	23095
1284.61	22589
1284.828	22654
1285.046	22337
1285.263	22399
1285.481	22594
1285.699	22741
1285.916	22712
1286.134	23621
1286.351	23483
1286.569	22883
1286.786	22390
1287.004	22527
1287.221	22476
1287.439	22639
1287.656	22422
1287.874	22666
1288.091	22707
1288.308	22956
1288.526	22793
1288.743	22594
1288.96	23051
1289.177	23487
1289.394	24556
1289.612	23542
1289.829	22212
1290.046	22434
1290.263	22369
1290.48	22295
1290.697	22146
1290.914	22156
1291.131	22101
1291.348	22329
1291.565	24637
1291.781	26071
1291.998	25547
1292.215	23620
1292.432	22203
1292.649	21866
1292.865	22018
1293.082	22364
1293.299	22093
1293.515	21343
1293.732	21226
1293.948	21089
1294.165	21129
1294.381	21713
1294.598	22584
1294.814	21879
1295.031	21255
1295.247	21304
1295.464	20946
1295.68	21107
1295.896	21051
1296.113	21206
1296.329	20834
1296.545	20440
1296.761	20385
1296.977	21144
1297.193	21051
1297.41	20654
1297.626	20275
1297.842	19878
1298.058	19734
1298.274	19865
1298.49	19624
1298.706	19667
1298.922	19725
1299.137	19425
1299.353	19478
1299.569	19308
1299.785	19291
1300.001	19308
1300.216	19484
1300.432	19420
1300.648	19221
1300.863	19331
1301.079	19252
1301.295	19224
1301.51	19060
1301.726	19155
1301.941	19226
1302.157	19441
1302.372	19184
1302.587	18960
1302.803	19094
1303.018	19265
1303.233	19394
1303.449	19465
1303.664	19135
1303.879	18963
1304.094	18969
1304.31	19191
1304.525	19375
1304.74	18959
1304.955	19055
1305.17	18947
1305.385	18706
1305.6	18623
1305.815	18845
1306.03	18742
1306.245	19037
1306.46	18920
1306.675	18802
1306.889	18725
1307.104	18504
1307.319	18405
1307.534	18331
1307.748	18400
1307.963	18174
1308.178	18219
1308.392	18157
1308.607	17957
1308.821	18339
1309.036	18217
1309.25	18078
1309.465	18208
