0001:AREA1:1-Channel(X)	0001:AREA1:1-Channel(Y)
1244.075	25339
1244.297	25446
1244.52	25226
1244.743	25504
1244.965	25298
1245.188	25409
1245.411	25322
1245.633	25396
1245.856	25438
1246.078	25457
1246.301	25361
1246.523	25531
1246.746	25230
1246.968	25482
1247.191	25506
1247.413	25439
1247.635	25241
1247.858	25503
1248.08	25679
1248.302	25580
1248.524	25514
1248.747	25586
1248.969	25574
1249.191	25719
1249.413	25738
1249.635	25577
1249.857	25561
1250.079	25751
1250.301	25682
1250.523	25825
1250.745	25634
1250.967	25769
1251.189	25594
1251.411	25721
1251.633	25545
1251.855	25637
1252.077	25753
1252.298	25772
1252.52	25587
1252.742	25718
1252.964	25598
1253.185	25687
1253.407	25497
1253.629	25793
1253.85	25730
1254.072	25736
1254.293	25624
1254.515	25631
1254.736	25469
1254.958	25685
1255.179	25581
1255.401	25600
1255.622	25654
1255.843	25871
1256.065	25794
1256.286	25617
1256.507	25612
1256.729	25713
1256.95	25550
1257.171	25856
1257.392	25659
1257.614	25634
1257.835	25627
1258.056	25677
1258.277	25566
1258.498	25647
1258.719	25623
1258.94	25669
1259.161	25439
1259.382	25602
1259.603	25587
1259.824	25508
1260.045	25496
1260.265	25482
1260.486	25452
1260.707	25776
1260.928	25569
1261.149	25466
1261.369	25261
1261.59	25336
1261.811	25257
1262.031	25198
1262.252	25172
1262.472	25157
1262.693	25135
1262.913	25375
1263.134	25146
1263.354	24836
1263.575	24996
1263.795	25172
1264.016	25427
1264.236	25113
1264.456	24827
1264.677	24894
1264.897	24715
1265.117	24799
1265.337	24677
1265.558	24714
1265.778	24587
1265.998	24746
1266.218	24583
1266.438	24733
1266.658	24509
1266.878	24702
1267.098	24647
1267.318	24518
1267.538	24398
1267.758	24451
1267.978	24394
1268.198	24365
1268.418	24376
1268.638	24318
1268.857	24131
1269.077	24171
1269.297	23981
1269.517	24071
1269.736	23998
1269.956	24017
1270.176	23889
1270.395	24051
1270.615	23807
1270.834	23879
1271.054	23995
1271.273	24073
1271.493	23860
1271.712	23736
1271.932	23795
1272.151	23691
1272.37	23596
1272.59	23758
1272.809	23811
1273.028	23550
1273.247	23637
1273.467	23550
1273.686	23667
1273.905	23425
1274.124	23409
1274.343	23242
1274.562	23098
1274.781	23248
1275	23245
1275.219	23187
1275.438	23311
1275.657	23356
1275.876	23393
1276.095	23466
1276.314	23546
1276.533	23124
1276.752	23132
1276.97	23189
1277.189	23204
1277.408	23176
1277.627	22850
1277.845	22749
1278.064	22660
1278.283	22712
1278.501	22483
1278.72	22604
1278.938	22517
1279.157	22567
1279.375	22501
1279.594	22858
1279.812	23150
1280.03	22788
1280.249	22342
1280.467	22300
1280.685	22232
1280.904	22231
1281.122	22052
1281.34	22201
1281.558	22085
1281.776	22085
1281.995	21919
1282.213	21981
1282.431	21930
1282.649	22069
1282.867	21936
1283.085	21681
1283.303	21682
1283.521	21580
1283.739	21517
1283.957	21589
1284.174	21512
1284.392	21596
1284.61	21290
1284.828	21394
1285.046	21155
1285.263	21199
1285.481	21178
1285.699	21209
1285.916	21203
1286.134	21393
1286.351	21391
1286.569	21361
1286.786	21079
1287.004	21078
1287.221	20940
1287.439	21006
1287.656	20847
1287.874	20938
1288.091	20822
1288.308	20997
1288.526	20872
1288.743	20785
1288.96	20892
1289.177	20814
1289.394	20752
1289.612	20668
1289.829	20346
1290.046	20513
1290.263	20402
1290.48	20415
1290.697	20234
1290.914	20362
1291.131	20283
