0001:AREA1:1-Channel(X)	0001:AREA1:1-Channel(Y)
1244.075	25774
1244.297	25889
1244.52	25795
1244.743	26118
1244.965	25836
1245.188	25933
1245.411	25782
1245.633	25918
1245.856	26054
1246.078	26108
1246.301	26021
1246.523	26181
1246.746	25966
1246.968	26281
1247.191	26133
1247.413	26095
1247.635	25809
1247.858	26150
1248.08	26372
1248.302	26284
1248.524	26117
1248.747	26206
1248.969	26164
1249.191	26305
1249.413	26362
1249.635	26257
1249.857	26191
1250.079	26418
1250.301	26324
1250.523	26528
1250.745	26284
1250.967	26427
1251.189	26270
1251.411	26477
1251.633	26207
1251.855	26306
1252.077	26502
1252.298	26546
1252.52	26496
1252.742	26731
1252.964	26639
1253.185	26631
1253.407	26402
1253.629	26666
1253.85	26570
1254.072	26536
1254.293	26456
1254.515	26447
1254.736	26303
1254.958	26448
1255.179	26401
1255.401	26406
1255.622	26492
1255.843	26817
1256.065	26800
1256.286	26729
1256.507	26640
1256.729	26624
1256.95	26410
1257.171	26656
1257.392	26697
1257.614	26643
1257.835	26509
1258.056	26645
1258.277	26411
1258.498	26559
1258.719	26569
1258.94	26522
1259.161	26578
1259.382	27017
1259.603	26768
1259.824	26701
1260.045	26788
1260.265	26895
1260.486	26676
1260.707	27240
1260.928	27044
1261.149	26652
1261.369	26403
1261.59	26486
1261.811	26473
1262.031	26589
1262.252	26379
1262.472	26310
1262.693	26451
1262.913	27050
1263.134	26411
1263.354	25946
1263.575	26060
1263.795	26863
1264.016	27061
1264.236	26120
1264.456	25764
1264.677	25749
1264.897	25591
1265.117	25695
1265.337	25705
1265.558	25580
1265.778	25497
1265.998	25599
1266.218	25453
1266.438	25909
1266.658	26267
1266.878	26546
1267.098	26965
1267.318	26363
1267.538	25520
1267.758	25623
1267.978	25732
1268.198	25660
1268.418	25659
1268.638	25225
1268.857	25019
1269.077	25269
1269.297	25111
1269.517	25107
1269.736	25139
1269.956	25315
1270.176	25056
1270.395	25080
1270.615	24824
1270.834	24984
1271.054	25230
1271.273	25345
1271.493	25134
1271.712	25770
1271.932	26508
1272.151	26086
1272.37	25561
1272.59	26048
1272.809	25325
1273.028	25252
1273.247	25401
1273.467	25413
1273.686	25222
1273.905	25210
1274.124	25597
1274.343	25609
1274.562	25575
1274.781	25555
1275	25576
1275.219	25380
1275.438	26020
1275.657	26257
1275.876	26509
1276.095	25903
1276.314	25737
1276.533	25445
1276.752	25232
1276.97	25297
1277.189	25674
1277.408	26013
1277.627	25026
1277.845	24842
1278.064	24594
1278.283	24572
1278.501	24593
1278.72	24900
1278.938	24681
1279.157	24939
1279.375	24915
1279.594	25814
1279.812	26407
1280.03	25483
1280.249	24417
1280.467	24471
1280.685	24864
1280.904	24861
1281.122	24304
1281.34	24494
1281.558	24309
1281.776	24552
1281.995	23973
1282.213	24141
1282.431	24367
1282.649	24219
1282.867	23876
1283.085	23931
1283.303	23601
1283.521	23418
1283.739	23271
1283.957	23338
1284.174	23413
1284.392	23414
1284.61	22917
1284.828	22949
1285.046	22625
1285.263	22726
1285.481	22958
1285.699	23154
1285.916	23185
1286.134	24208
1286.351	24013
1286.569	23251
1286.786	22730
1287.004	22955
1287.221	22958
1287.439	23062
1287.656	22773
1287.874	23179
1288.091	23363
1288.308	23482
1288.526	23239
1288.743	23014
1288.96	23540
1289.177	24219
1289.394	25603
1289.612	24394
1289.829	22813
1290.046	22898
1290.263	22786
1290.48	22797
1290.697	22572
1290.914	22487
1291.131	22474
1291.348	22820
1291.565	25314
1291.781	27000
1291.998	26344
1292.215	24076
1292.432	22656
1292.649	22320
1292.865	22426
1293.082	22835
1293.299	22446
1293.515	21716
1293.732	21598
1293.948	21515
1294.165	21558
1294.381	22296
1294.598	23502
1294.814	22633
1295.031	21784
1295.247	21881
1295.464	21449
1295.68	21563
1295.896	21517
1296.113	21695
1296.329	21309
1296.545	20878
1296.761	20774
1296.977	21717
1297.193	21600
1297.41	21119
1297.626	20725
1297.842	20202
1298.058	20118
1298.274	20248
1298.49	19919
1298.706	20042
1298.922	20138
1299.137	19857
1299.353	19855
1299.569	19742
1299.785	19702
1300.001	19723
1300.216	19846
1300.432	19941
1300.648	19733
1300.863	19766
1301.079	19766
1301.295	19726
1301.51	19454
1301.726	19613
1301.941	19752
1302.157	19971
1302.372	19668
1302.587	19436
1302.803	19629
1303.018	19874
1303.233	19974
1303.449	20067
1303.664	19743
1303.879	19493
1304.094	19469
1304.31	19766
1304.525	19986
1304.74	19460
1304.955	19548
1305.17	19384
1305.385	19182
1305.6	19055
1305.815	19231
1306.03	19160
1306.245	19452
1306.46	19320
1306.675	19109
1306.889	18991
1307.104	18867
1307.319	18695
1307.534	18625
1307.748	18697
1307.963	18480
1308.178	18507
1308.392	18512
1308.607	18273
1308.821	18587
1309.036	18495
1309.25	18314
1309.465	18475
1309.679	18300
1309.894	18796
1310.108	18535
1310.322	18317
1310.537	18301
1310.751	18371
1310.965	18220
1311.179	18371
1311.394	18117
1311.608	18295
1311.822	18386
1312.036	18282
1312.25	18128
1312.464	18119
1312.678	18229
1312.892	18298
1313.106	18469
1313.32	18506
1313.534	18687
1313.748	18882
1313.962	18929
1314.175	19427
1314.389	19748
1314.603	19945
1314.817	20034
1315.03	20308
1315.244	20884
1315.457	24605
1315.671	26763
1315.885	24884
1316.098	22616
1316.312	22303
1316.525	23590
1316.739	23232
1316.952	22334
1317.165	22399
1317.379	24010
1317.592	24047
1317.805	23836
1318.019	23755
1318.232	22409
1318.445	22301
1318.658	22749
1318.871	22598
1319.084	22386
1319.297	21871
1319.511	21935
1319.724	22560
1319.937	23857
1320.149	28106
1320.362	26020
1320.575	23320
1320.788	22878
1321.001	23040
1321.214	25685
1321.427	25153
1321.639	22864
1321.852	22634
1322.065	23528
1322.277	23598
1322.49	22982
1322.703	22362
1322.915	22593
1323.128	22703
1323.34	21357
1323.553	21456
1323.765	21692
1323.977	21129
1324.19	20851
1324.402	20915
1324.614	21157
1324.827	21309
1325.039	21185
1325.251	20735
1325.463	20314
1325.676	20642
1325.888	21821
1326.1	21264
1326.312	20838
1326.524	20496
1326.736	21047
1326.948	21194
1327.16	20411
1327.372	20088
1327.584	20073
1327.795	20170
1328.007	20416
1328.219	20350
1328.431	20077
1328.642	19985
1328.854	19798
1329.066	19906
1329.277	20481
1329.489	21165
1329.701	21701
1329.912	21374
1330.124	20837
1330.335	21674
1330.547	20650
1330.758	20177
1330.969	20118
1331.181	19748
1331.392	19683
1331.603	19714
1331.815	19601
1332.026	19611
1332.237	19608
1332.448	19131
1332.659	18853
1332.87	18922
1333.082	18735
1333.293	18783
1333.504	18776
1333.715	18532
1333.925	18570
1334.136	18348
1334.347	18347
1334.558	18421
1334.769	18151
1334.98	18143
1335.191	17965
1335.401	17878
1335.612	18031
1335.823	18002
1336.033	17628
1336.244	17677
1336.454	17529
1336.665	17529
1336.875	17553
1337.086	17455
1337.296	17432
1337.507	17309
1337.717	17400
1337.928	17177
1338.138	17095
1338.348	17071
1338.558	17119
1338.769	16966
1338.979	17014
1339.189	16887
1339.399	16794
1339.609	16808
1339.819	16735
1340.029	16714
1340.239	16789
1340.449	16641
1340.659	16504
1340.869	16444
1341.079	16494
1341.289	16572
1341.499	16535
1341.708	16390
1341.918	16279
1342.128	16328
1342.338	16211
1342.547	16268
1342.757	16220
1342.967	16285
1343.176	16072
1343.386	16143
1343.595	15942
1343.805	15851
1344.014	15787
1344.223	15783
1344.433	15781
1344.642	15720
1344.851	15650
1345.061	15597
1345.27	15571
1345.479	15466
1345.688	15463
1345.897	15388
1346.107	15339
1346.316	15258
1346.525	15230
1346.734	15021
1346.943	15130
1347.152	14918
1347.361	14813
1347.569	14836
1347.778	14821
1347.987	14670
1348.196	14574
1348.405	14473
1348.613	14413
1348.822	14456
1349.031	14466
1349.239	14362
1349.448	14336
1349.657	14333
1349.865	14267
1350.074	14144
1350.282	14147
1350.491	14124
1350.699	13973
1350.907	13972
1351.116	13802
1351.324	13728
1351.532	13741
1351.741	13709
1351.949	13717
1352.157	13662
1352.365	13607
1352.573	13467
1352.781	13402
1352.989	13340
1353.197	13166
1353.405	13241
1353.613	13070
1353.821	13075
1354.029	13076
1354.237	13180
