0001:AREA1:1-Channel(X)	0001:AREA1:1-Channel(Y)
1244.075	26153
1244.297	26402
1244.52	26249
1244.743	26608
1244.965	26261
1245.188	26406
1245.411	26335
1245.633	26525
1245.856	26747
1246.078	26797
1246.301	26630
1246.523	26844
1246.746	26703
1246.968	27071
1247.191	26939
1247.413	26741
1247.635	26511
1247.858	26898
1248.08	27062
1248.302	26978
1248.524	26857
1248.747	26964
1248.969	26933
1249.191	27046
1249.413	27128
1249.635	27046
1249.857	27016
1250.079	27135
1250.301	27183
1250.523	27378
1250.745	27210
1250.967	27280
1251.189	27202
1251.411	27380
1251.633	27197
1251.855	27248
1252.077	27501
1252.298	27698
1252.52	27669
1252.742	27996
1252.964	27880
1253.185	27894
1253.407	27534
1253.629	27917
1253.85	27857
1254.072	27812
1254.293	27625
1254.515	27778
1254.736	27581
1254.958	27675
1255.179	27580
1255.401	27632
1255.622	27781
1255.843	28065
1256.065	28075
1256.286	28127
1256.507	28088
1256.729	27918
1256.95	27661
1257.171	27957
1257.392	27979
1257.614	28030
1257.835	28008
1258.056	28011
1258.277	27760
1258.498	27872
1258.719	27901
1258.94	27922
1259.161	28127
1259.382	28569
1259.603	28342
1259.824	28254
1260.045	28345
1260.265	28489
1260.486	28189
1260.707	28800
1260.928	28866
1261.149	28379
1261.369	28014
1261.59	28097
1261.811	28198
1262.031	28289
1262.252	28048
1262.472	27937
1262.693	28188
1262.913	28873
1263.134	28099
1263.354	27499
1263.575	27438
1263.795	28402
1264.016	28519
1264.236	27487
1264.456	27109
1264.677	27094
1264.897	26909
1265.117	27095
1265.337	27115
1265.558	26956
1265.778	26830
1265.998	26949
1266.218	26903
1266.438	27548
1266.658	28305
1266.878	28732
1267.098	29486
1267.318	28497
1267.538	27160
1267.758	27244
1267.978	27459
1268.198	27341
1268.418	27254
1268.638	26782
1268.857	26688
1269.077	27138
1269.297	27125
1269.517	26995
1269.736	26997
1269.956	26984
1270.176	26864
1270.395	26745
1270.615	26353
1270.834	26440
1271.054	26623
1271.273	26716
1271.493	26473
1271.712	27233
1271.932	28488
1272.151	28290
1272.37	27329
1272.59	27989
1272.809	27227
1273.028	26859
1273.247	27126
1273.467	27326
1273.686	27430
1273.905	27539
1274.124	28329
1274.343	28652
1274.562	28947
1274.781	28762
1275	28726
1275.219	28468
