0001:AREA1:1-Channel(X)	0001:AREA1:1-Channel(Y)
1244.075	25444
1244.297	25395
1244.52	25327
1244.743	25581
1244.965	25320
1245.188	25510
1245.411	25332
1245.633	25402
1245.856	25477
1246.078	25473
1246.301	25419
1246.523	25573
1246.746	25377
1246.968	25580
1247.191	25548
1247.413	25477
1247.635	25274
1247.858	25614
1248.08	25746
1248.302	25611
1248.524	25555
1248.747	25636
1248.969	25622
1249.191	25735
1249.413	25732
1249.635	25703
1249.857	25669
1250.079	25790
1250.301	25746
1250.523	25884
1250.745	25700
1250.967	25795
1251.189	25642
1251.411	25774
1251.633	25586
1251.855	25641
1252.077	25827
1252.298	25796
1252.52	25749
1252.742	25812
1252.964	25664
1253.185	25737
1253.407	25623
1253.629	25859
1253.85	25769
1254.072	25776
1254.293	25724
1254.515	25724
1254.736	25587
1254.958	25752
1255.179	25591
1255.401	25664
1255.622	25709
1255.843	25998
1256.065	25908
1256.286	25769
1256.507	25711
1256.729	25791
1256.95	25641
1257.171	25908
1257.392	25757
1257.614	25718
1257.835	25647
1258.056	25815
1258.277	25577
1258.498	25744
1258.719	25778
1258.94	25712
1259.161	25567
1259.382	25763
1259.603	25704
1259.824	25625
1260.045	25617
1260.265	25679
1260.486	25557
1260.707	25859
1260.928	25668
1261.149	25505
1261.369	25451
1261.59	25461
1261.811	25319
1262.031	25295
1262.252	25282
1262.472	25266
1262.693	25312
1262.913	25604
1263.134	25188
1263.354	24978
1263.575	25049
1263.795	25510
1264.016	25603
1264.236	25102
1264.456	24923
1264.677	24939
1264.897	24757
1265.117	24824
1265.337	24827
1265.558	24728
1265.778	24688
1265.998	24819
1266.218	24633
1266.438	24786
1266.658	24628
1266.878	24845
1267.098	24786
1267.318	24708
1267.538	24482
1267.758	24518
1267.978	24449
1268.198	24499
1268.418	24430
1268.638	24319
1268.857	24156
1269.077	24212
1269.297	24028
1269.517	24134
1269.736	24109
1269.956	24095
1270.176	23903
1270.395	24089
1270.615	23841
1270.834	23966
1271.054	24101
1271.273	24197
1271.493	23944
1271.712	23903
1271.932	23906
1272.151	23840
1272.37	23776
1272.59	23942
1272.809	23875
1273.028	23775
1273.247	23828
1273.467	23704
1273.686	23700
1273.905	23573
1274.124	23525
1274.343	23425
1274.562	23290
1274.781	23450
1275	23455
1275.219	23381
1275.438	23453
1275.657	23665
1275.876	23618
1276.095	23669
1276.314	23668
1276.533	23398
1276.752	23260
1276.97	23320
1277.189	23395
1277.408	23321
1277.627	22975
1277.845	22900
1278.064	22816
1278.283	22809
1278.501	22705
1278.72	22826
1278.938	22772
1279.157	22769
1279.375	22729
1279.594	23321
1279.812	23390
1280.03	22910
1280.249	22464
1280.467	22533
1280.685	22527
1280.904	22593
1281.122	22171
1281.34	22444
1281.558	22339
1281.776	22319
1281.995	22096
1282.213	22191
1282.431	22237
1282.649	22246
1282.867	22042
1283.085	21911
1283.303	21872
1283.521	21789
1283.739	21734
1283.957	21758
1284.174	21767
1284.392	21782
1284.61	21415
1284.828	21534
1285.046	21275
1285.263	21359
1285.481	21371
1285.699	21382
1285.916	21417
1286.134	21671
1286.351	21619
1286.569	21503
1286.786	21174
1287.004	21224
1287.221	21098
1287.439	21227
1287.656	21106
1287.874	21174
1288.091	21121
1288.308	21265
1288.526	21076
1288.743	20981
1288.96	21145
1289.177	21079
1289.394	21104
1289.612	21028
1289.829	20615
1290.046	20865
1290.263	20704
1290.48	20678
1290.697	20590
1290.914	20735
1291.131	20513
1291.348	20539
1291.565	21432
1291.781	21577
1291.998	21784
1292.215	21312
1292.432	20331
1292.649	20152
1292.865	20232
1293.082	20489
1293.299	20529
1293.515	20001
1293.732	19840
1293.948	19793
1294.165	19674
1294.381	19858
1294.598	19930
1294.814	19693
1295.031	19688
1295.247	19597
1295.464	19287
1295.68	19392
1295.896	19517
1296.113	19523
1296.329	19287
1296.545	18968
1296.761	18916
1296.977	19147
1297.193	19097
1297.41	18853
1297.626	18828
1297.842	18621
1298.058	18495
1298.274	18608
1298.49	18417
1298.706	18378
1298.922	18349
1299.137	18178
1299.353	18142
1299.569	18025
1299.785	18004
1300.001	17908
1300.216	18094
1300.432	17869
1300.648	17851
1300.863	17868
1301.079	17736
1301.295	17760
1301.51	17619
1301.726	17677
1301.941	17709
1302.157	17722
1302.372	17504
1302.587	17543
1302.803	17510
1303.018	17589
1303.233	17587
1303.449	17497
1303.664	17449
1303.879	17495
1304.094	17485
1304.31	17597
1304.525	17620
1304.74	17488
1304.955	17554
1305.17	17465
1305.385	17428
1305.6	17348
1305.815	17548
1306.03	17496
1306.245	17659
1306.46	17605
1306.675	17582
1306.889	17515
1307.104	17508
1307.319	17471
1307.534	17292
1307.748	17327
1307.963	17146
1308.178	17202
1308.392	17279
1308.607	17150
1308.821	17382
1309.036	17318
1309.25	17218
1309.465	17375
1309.679	17166
1309.894	17375
1310.108	17305
1310.322	17245
1310.537	17239
1310.751	17261
1310.965	17082
1311.179	17210
1311.394	16995
1311.608	17126
1311.822	17253
1312.036	17185
1312.25	17012
1312.464	17035
1312.678	17129
1312.892	17117
1313.106	17205
1313.32	17223
1313.534	17203
1313.748	17269
1313.962	17323
1314.175	17490
1314.389	17597
1314.603	17718
1314.817	17685
1315.03	17780
1315.244	17781
1315.457	18509
1315.671	18931
1315.885	18555
1316.098	17937
1316.312	18012
1316.525	18366
1316.739	18471
1316.952	18319
1317.165	18210
1317.379	18807
1317.592	18741
1317.805	18845
1318.019	18645
1318.232	17986
1318.445	17979
1318.658	18033
1318.871	17985
1319.084	18035
1319.297	17939
1319.511	17753
1319.724	17757
1319.937	18403
1320.149	20182
1320.362	19281
1320.575	18177
1320.788	17957
1321.001	18022
1321.214	19043
1321.427	18560
1321.639	17929
1321.852	17834
1322.065	18092
1322.277	18094
1322.49	17907
1322.703	17862
1322.915	17975
