0001:AREA1:1-Channel(X)	0001:AREA1:1-Channel(Y)
1244.075	25257
1244.297	25324
1244.52	25226
1244.743	25385
1244.965	25140
1245.188	25314
1245.411	25139
1245.633	25248
1245.856	25282
1246.078	25290
1246.301	25159
1246.523	25316
1246.746	25089
1246.968	25315
1247.191	25371
1247.413	25317
1247.635	25065
1247.858	25367
1248.08	25500
1248.302	25447
1248.524	25339
1248.747	25418
1248.969	25482
1249.191	25529
1249.413	25591
1249.635	25474
1249.857	25428
1250.079	25589
1250.301	25529
1250.523	25713
1250.745	25466
1250.967	25569
1251.189	25459
1251.411	25592
1251.633	25397
1251.855	25477
1252.077	25600
1252.298	25587
1252.52	25466
1252.742	25530
1252.964	25449
1253.185	25564
1253.407	25387
1253.629	25580
1253.85	25582
1254.072	25579
1254.293	25530
1254.515	25527
1254.736	25377
1254.958	25557
1255.179	25386
1255.401	25476
1255.622	25446
1255.843	25564
1256.065	25428
1256.286	25317
1256.507	25348
1256.729	25496
1256.95	25275
1257.171	25550
1257.392	25300
1257.614	25345
1257.835	25325
1258.056	25484
1258.277	25263
1258.498	25388
1258.719	25415
1258.94	25390
1259.161	25242
1259.382	25278
1259.603	25200
1259.824	25191
1260.045	25202
1260.265	25195
1260.486	25106
1260.707	25289
1260.928	25043
1261.149	25086
1261.369	25020
1261.59	25167
1261.811	24936
1262.031	24953
1262.252	24935
1262.472	24885
1262.693	24858
1262.913	24982
1263.134	24808
1263.354	24605
1263.575	24723
1263.795	24768
1264.016	24766
1264.236	24745
1264.456	24602
1264.677	24678
1264.897	24515
1265.117	24555
1265.337	24551
1265.558	24502
1265.778	24417
1265.998	24507
1266.218	24364
1266.438	24431
1266.658	24132
1266.878	24335
1267.098	24088
1267.318	24142
1267.538	24075
1267.758	24070
1267.978	24000
1268.198	24031
1268.418	23992
1268.638	23961
1268.857	23787
1269.077	23954
1269.297	23785
1269.517	23820
1269.736	23722
1269.956	23686
1270.176	23546
1270.395	23826
1270.615	23492
1270.834	23630
1271.054	23575
1271.273	23540
1271.493	23454
1271.712	23378
1271.932	23270
1272.151	23461
1272.37	23236
1272.59	23335
1272.809	23372
1273.028	23141
1273.247	23257
1273.467	23090
1273.686	23145
1273.905	23007
1274.124	22958
1274.343	22825
1274.562	22717
1274.781	22813
1275	22812
1275.219	22717
1275.438	22799
1275.657	22750
1275.876	22629
1276.095	22608
1276.314	22618
1276.533	22499
1276.752	22467
1276.97	22545
1277.189	22450
1277.408	22393
1277.627	22274
1277.845	22301
1278.064	22225
1278.283	22283
1278.501	22140
1278.72	22152
1278.938	22027
1279.157	22097
1279.375	22046
1279.594	22081
1279.812	22094
1280.03	22041
1280.249	21858
1280.467	21868
1280.685	21768
1280.904	21782
1281.122	21592
1281.34	21857
1281.558	21721
1281.776	21734
1281.995	21485
1282.213	21553
1282.431	21439
1282.649	21469
1282.867	21392
1283.085	21301
1283.303	21288
1283.521	21250
1283.739	21211
1283.957	21211
1284.174	21087
1284.392	21134
1284.61	20933
1284.828	21077
1285.046	20858
1285.263	20906
1285.481	20861
1285.699	20840
1285.916	20779
1286.134	20878
1286.351	20788
1286.569	20733
1286.786	20615
1287.004	20733
1287.221	20490
1287.439	20570
1287.656	20441
1287.874	20527
1288.091	20316
1288.308	20389
1288.526	20359
1288.743	20230
1288.96	20242
