0001:AREA1:1-Channel(X)	0001:AREA1:1-Channel(Y)
1244.075	25571
1244.297	25572
1244.52	25400
1244.743	25772
1244.965	25495
1245.188	25643
1245.411	25471
1245.633	25531
1245.856	25676
1246.078	25754
1246.301	25596
1246.523	25688
1246.746	25557
1246.968	25798
1247.191	25811
1247.413	25684
1247.635	25468
1247.858	25777
1248.08	25953
1248.302	25804
1248.524	25701
1248.747	25841
1248.969	25789
1249.191	25881
1249.413	25894
1249.635	25824
1249.857	25815
1250.079	25993
1250.301	25875
1250.523	26095
1250.745	25857
1250.967	25933
1251.189	25773
1251.411	25947
1251.633	25790
1251.855	25843
1252.077	25997
1252.298	26003
1252.52	25884
1252.742	26045
1252.964	25909
1253.185	25979
1253.407	25805
1253.629	26115
1253.85	26059
1254.072	26022
1254.293	25907
1254.515	25912
1254.736	25790
1254.958	25942
1255.179	25812
1255.401	25881
1255.622	25965
1255.843	26176
1256.065	26199
1256.286	26045
1256.507	25982
1256.729	26009
1256.95	25798
1257.171	26119
1257.392	26049
1257.614	25977
1257.835	25939
1258.056	26008
1258.277	25890
1258.498	25955
1258.719	25913
1258.94	25914
1259.161	25876
1259.382	26084
1259.603	25982
1259.824	25965
1260.045	25960
1260.265	25974
1260.486	25843
1260.707	26286
1260.928	26109
1261.149	25825
1261.369	25674
1261.59	25715
1261.811	25672
1262.031	25705
1262.252	25585
1262.472	25519
1262.693	25678
1262.913	26023
1263.134	25573
1263.354	25242
1263.575	25369
1263.795	25912
1264.016	25997
1264.236	25464
1264.456	25168
1264.677	25185
1264.897	24977
1265.117	25085
1265.337	25092
1265.558	24958
1265.778	24906
1265.998	24912
1266.218	24854
1266.438	25153
1266.658	25123
1266.878	25353
1267.098	25457
1267.318	25260
1267.538	24788
1267.758	24779
1267.978	24811
1268.198	24880
1268.418	24813
1268.638	24611
1268.857	24372
1269.077	24478
1269.297	24329
1269.517	24372
1269.736	24425
1269.956	24461
1270.176	24270
1270.395	24367
1270.615	24093
1270.834	24259
1271.054	24461
1271.273	24586
1271.493	24368
1271.712	24519
1271.932	24693
1272.151	24488
1272.37	24347
1272.59	24668
1272.809	24335
1273.028	24258
1273.247	24382
1273.467	24189
1273.686	24167
1273.905	24031
1274.124	24096
1274.343	23961
1274.562	23886
1274.781	24060
1275	23961
1275.219	23874
1275.438	24132
1275.657	24441
1275.876	24627
1276.095	24368
1276.314	24224
1276.533	23857
1276.752	23720
1276.97	23814
1277.189	24140
1277.408	24219
1277.627	23563
1277.845	23442
1278.064	23341
1278.283	23407
1278.501	23299
1278.72	23557
1278.938	23438
1279.157	23464
1279.375	23429
1279.594	24201
1279.812	24438
1280.03	23749
1280.249	23140
1280.467	23149
1280.685	23251
1280.904	23317
1281.122	22982
1281.34	23058
1281.558	22917
1281.776	23041
1281.995	22722
1282.213	22741
1282.431	22889
1282.649	22867
1282.867	22635
1283.085	22534
1283.303	22400
1283.521	22223
1283.739	22088
1283.957	22207
1284.174	22242
1284.392	22270
1284.61	21905
1284.828	21938
1285.046	21639
1285.263	21785
1285.481	21826
1285.699	21890
1285.916	21890
1286.134	22414
1286.351	22323
1286.569	21974
1286.786	21629
1287.004	21767
1287.221	21645
1287.439	21777
1287.656	21635
1287.874	21749
1288.091	21780
1288.308	22010
1288.526	21802
1288.743	21656
1288.96	21933
1289.177	22105
1289.394	22454
1289.612	22074
1289.829	21238
1290.046	21553
1290.263	21448
1290.48	21300
1290.697	21245
1290.914	21355
1291.131	21193
1291.348	21333
1291.565	22927
1291.781	23640
1291.998	23533
1292.215	22417
1292.432	21142
1292.649	20873
1292.865	21059
1293.082	21304
1293.299	21249
1293.515	20618
1293.732	20358
1293.948	20294
1294.165	20209
1294.381	20567
1294.598	20944
1294.814	20626
1295.031	20341
1295.247	20322
1295.464	19915
1295.68	20100
1295.896	20143
1296.113	20267
1296.329	19980
1296.545	19597
1296.761	19527
1296.977	19980
1297.193	19870
1297.41	19593
1297.626	19478
1297.842	19095
1298.058	18982
1298.274	19135
1298.49	18852
1298.706	18865
1298.922	18842
1299.137	18644
1299.353	18654
1299.569	18465
1299.785	18461
1300.001	18483
1300.216	18563
1300.432	18477
1300.648	18402
1300.863	18415
1301.079	18386
1301.295	18331
1301.51	18240
1301.726	18189
1301.941	18243
1302.157	18447
1302.372	18167
1302.587	18034
1302.803	18114
1303.018	18203
1303.233	18227
1303.449	18170
1303.664	18037
1303.879	18037
1304.094	18036
1304.31	18236
1304.525	18232
1304.74	18055
1304.955	18107
1305.17	18044
1305.385	17931
1305.6	17846
1305.815	18036
1306.03	17986
1306.245	18214
1306.46	18173
1306.675	18042
1306.889	18049
1307.104	17889
1307.319	17811
1307.534	17716
1307.748	17720
1307.963	17522
1308.178	17560
1308.392	17607
1308.607	17504
1308.821	17711
1309.036	17654
1309.25	17548
1309.465	17666
1309.679	17470
1309.894	17790
1310.108	17665
1310.322	17530
1310.537	17616
1310.751	17614
1310.965	17405
1311.179	17504
1311.394	17268
1311.608	17504
1311.822	17592
1312.036	17528
1312.25	17350
1312.464	17382
1312.678	17513
1312.892	17471
1313.106	17630
1313.32	17629
1313.534	17674
1313.748	17830
1313.962	17981
1314.175	18273
1314.389	18571
1314.603	19118
1314.817	18805
1315.03	18684
1315.244	18962
1315.457	20245
1315.671	21233
1315.885	20415
1316.098	19264
1316.312	19121
1316.525	19884
1316.739	20276
1316.952	19598
1317.165	19649
1317.379	20433
1317.592	20462
1317.805	20857
1318.019	20481
1318.232	19295
1318.445	19056
1318.658	19238
1318.871	19550
1319.084	19689
1319.297	19140
1319.511	18835
1319.724	19063
1319.937	19647
1320.149	22351
1320.362	21469
1320.575	19581
1320.788	19149
1321.001	19286
1321.214	20549
1321.427	20366
1321.639	19235
1321.852	19076
1322.065	19540
1322.277	19695
1322.49	19398
1322.703	19104
1322.915	19257
1323.128	19304
1323.34	18782
1323.553	18797
1323.765	18848
1323.977	18489
1324.19	18457
1324.402	18452
1324.614	18768
1324.827	18927
1325.039	18766
1325.251	18383
1325.463	18104
1325.676	18045
1325.888	18630
1326.1	18293
1326.312	18168
1326.524	17979
1326.736	18206
1326.948	18236
1327.16	17821
1327.372	17698
1327.584	17725
1327.795	17737
1328.007	17975
1328.219	18071
1328.431	17871
1328.642	17737
1328.854	17581
1329.066	17560
1329.277	17820
1329.489	18065
1329.701	17967
1329.912	17824
1330.124	18339
1330.335	19941
1330.547	19074
1330.758	17996
1330.969	17705
1331.181	17480
1331.392	17551
1331.603	17625
1331.815	17698
1332.026	17697
1332.237	17757
1332.448	17327
1332.659	17162
1332.87	17101
1333.082	17032
1333.293	17007
1333.504	17072
1333.715	16908
1333.925	16906
1334.136	16849
1334.347	16773
1334.558	16786
1334.769	16667
1334.98	16719
1335.191	16575
1335.401	16558
1335.612	16476
1335.823	16514
1336.033	16664
1336.244	16773
1336.454	16352
1336.665	16220
1336.875	16349
1337.086	16405
1337.296	16424
1337.507	16228
1337.717	16228
1337.928	16074
1338.138	16038
1338.348	16043
1338.558	16146
1338.769	15997
1338.979	16034
1339.189	15885
1339.399	15909
1339.609	15920
1339.819	15873
1340.029	15744
1340.239	15833
1340.449	15724
1340.659	15624
1340.869	15617
1341.079	15723
1341.289	15791
1341.499	15778
1341.708	15675
1341.918	15513
1342.128	15572
1342.338	15492
1342.547	15549
1342.757	15450
1342.967	15561
1343.176	15361
1343.386	15418
1343.595	15283
1343.805	15169
1344.014	15122
1344.223	15144
1344.433	15088
1344.642	15135
1344.851	15080
1345.061	15037
1345.27	15003
1345.479	14917
1345.688	14884
1345.897	14869
1346.107	14892
1346.316	14811
1346.525	14836
1346.734	14639
1346.943	14713
1347.152	14473
1347.361	14387
1347.569	14447
1347.778	14418
1347.987	14311
1348.196	14246
1348.405	14115
1348.613	14090
1348.822	14125
1349.031	14145
1349.239	14064
1349.448	14055
1349.657	14081
1349.865	13998
1350.074	13894
1350.282	13892
1350.491	13848
1350.699	13689
1350.907	13730
1351.116	13627
1351.324	13433
1351.532	13532
1351.741	13500
1351.949	13537
1352.157	13460
1352.365	13383
1352.573	13342
1352.781	13176
1352.989	13117
1353.197	13004
1353.405	13048
1353.613	12916
1353.821	12879
1354.029	12904
1354.237	13040
