0001:AREA1:1-Channel(X)	0001:AREA1:1-Channel(Y)
1345.019	1444
1345.229	1365
1345.44	1405
1345.651	1456
1345.861	1503
1346.072	1387
1346.283	1542
1346.493	1520
1346.704	1529
1346.914	1360
1347.125	1479
1347.335	1495
1347.545	1468
1347.756	1419
1347.966	1530
1348.176	1428
1348.387	1564
1348.597	1483
1348.807	1467
1349.017	1411
1349.227	1486
1349.437	1501
1349.647	1457
1349.858	1419
1350.068	1469
1350.277	1436
1350.487	1444
1350.697	1483
1350.907	1450
1351.117	1513
1351.327	1446
1351.537	1268
1351.746	1493
1351.956	1500
1352.166	1503
1352.376	1342
1352.585	1551
1352.795	1412
1353.004	1499
1353.214	1461
1353.423	1637
1353.633	1446
1353.842	1553
1354.052	1404
1354.261	1434
1354.47	1411
1354.68	1478
1354.889	1364
1355.098	1499
1355.307	1413
1355.517	1448
1355.726	1406
1355.935	1513
1356.144	1469
1356.353	1547
1356.562	1448
1356.771	1379
1356.98	1500
1357.189	1398
1357.398	1449
1357.607	1498
1357.816	1508
1358.024	1399
1358.233	1426
1358.442	1406
1358.651	1359
1358.859	1431
1359.068	1464
1359.277	1441
1359.485	1454
1359.694	1452
1359.902	1396
1360.111	1481
1360.319	1438
1360.527	1449
1360.736	1441
1360.944	1502
1361.153	1463
1361.361	1563
1361.569	1380
1361.777	1559
1361.986	1334
1362.194	1396
1362.402	1413
1362.61	1492
1362.818	1415
1363.026	1397
1363.234	1291
1363.442	1331
1363.65	1345
1363.858	1472
1364.066	1392
1364.274	1452
1364.481	1430
1364.689	1507
1364.897	1389
1365.105	1437
1365.312	1439
1365.52	1403
1365.728	1445
1365.935	1437
1366.143	1285
1366.35	1440
1366.558	1345
1366.765	1448
1366.973	1430
1367.18	1412
1367.387	1414
1367.595	1440
1367.802	1428
1368.009	1398
1368.216	1465
1368.424	1369
1368.631	1415
1368.838	1458
1369.045	1540
